title,text,category
"姑妄言之","我经过深思熟虑、反复权衡利弊、咨询了内心最理性的那一面之后，决定再睡五分钟。","philosophy"
"观自在","在量子层面上，我的袜子是一只穿了又像是没穿的叠加态。","philosophy"
"无事帖","我并非懒惰，而是在以一种极低的代谢成本维持生命系统的稳定运行。","philosophy"
"枕上录","经过缜密的内部辩论与多轮自我谈判，谈判破裂，我还是把那块蛋糕吃了。","philosophy"
"夜思","我对宇宙抱有最深沉的敬畏,所以我决定不洗碗。","philosophy"
"无题之一","这不是拖延,这是在等待时机的成熟,而时机非常成熟地始终没来。","philosophy"
"空山","存在的本质，是我没存到钱。","philosophy"
"有所思","时间是个谜,因为我也不知道它去哪儿了。","philosophy"
"如是","万物皆有裂痕,那是我又把杯子摔了的地方。","philosophy"
"默想录","意识到自己的局限,是一种局限。","philosophy"
"观鱼记","我思故我在,我不思,可能就睡着了。","philosophy"
"守拙","真理往往掌握在少数人手里,而我恰好在大多数人那一拨。","philosophy"
"止观","凡是不能让我变强的,确实没让我变强。","philosophy"
"自省","认识你自己——然后你会发现没什么好认识的。","philosophy"
"游心","向内求,内里是空的;向外求,外面也是空的。","philosophy"
"闲思偶记","命运的齿轮开始转动,转了一圈又回到原地。","philosophy"
"形而上小品","每个人心中都有一团火，我心中那团火灭了。","philosophy"
"玄览","众生皆苦,我尤其苦,因为我还要看着众生苦。","philosophy"
"无所住","看破红尘的第一步,是先把红尘看清楚,而我连这一步都没做到。","philosophy"
"混沌录","我不是在思考人生,我是在发呆,但效果差不多。","philosophy"
"晨录","经过一夜的深度休整,我已做好了再休整一会儿的准备。","daily"
"起居注","起床这件事的难度,与床的舒适度成正比,而我的床非常舒适。","daily"
"琐记之一","我整理了房间,具体表现为把东西从这边挪到了那边。","daily"
"家务考","扫地是一种近似的运动,因为它确实让我动了一下。","daily"
"沐浴札","洗澡时灵感最多,因为只有那时我什么都不能记下来。","daily"
"出门记","我已经做好了出门的全部心理准备,只差一个出门的动作。","daily"
"乘车录","通勤的意义,在于让你忘记自己上一次开心是什么时候。","daily"
"归途","下班的脚步是欢快的,因为它知道明天还要再来一次。","daily"
"夜归","我并不熬夜,我只是在夜里没有睡。","daily"
